bird.id,color.band,round,soc.trt,inf.trt,inf.feed,trt1,cage.id,nov.PID,nov.time,norm.PID,norm.time,high.lvl.nov,high.lvl.norm,nov.end,norm.end,sec.imm.bl,nov.eat,norm.eat,sec.to.eat.nov,sec.to.eat.norm,perch.nov,perch.norm,sec.to.perch.nov,sec.to.perch.norm,close.nov,close.norm,sec.to.close.nov,sec.to.close.norm,top.nov,top.norm,sec.to.top.nov,sec.to.top.norm,bott.nov,bott.norm,sec.to.bott.nov,sec.to.bott.norm
2610,y,1,fl,c,c,fl_c,4,12,706,11,708,5,5,3013.976,542.649,,y,y,2453.697,192.906,y,y,2484.585,137.402,y,n,721.21,NA,y,y,720.873,86.153,y,n,1965.854,NA
2596,w,1,fl,f,c,fl_c,4,12,706,11,708,4,5,3195.18,167.62,,n,y,NA,167.62,y,y,2455.674,151.045,y,n,2479.646,NA,y,n,286.947,NA,y,n,626.331,NA
2600,d,1,fl,f,c,fl_c,4,12,706,11,708,5,5,2423.878,131.903,,y,y,2399.378,131.903,y,y,679.38,131.152,y,n,374.487,NA,y,y,135.404,83.158,y,y,380.488,91.404
2605,w,1,fl,f,c,fl_c,5,12,707,11,708,2,5,3155.48,307.017,,n,y,NA,289.507,n,y,NA,122.872,n,y,NA,122.264,y,n,61.285,NA,y,y,1931.818,81.999
2597,y,1,fl,c,c,fl_c,1,12,708,11,712,3,5,3161.83,294.636,,n,y,NA,151.656,n,y,NA,147.903,y,y,994.215,132.152,y,y,288.682,136.656,y,y,2553.551,173.904
2590,o,1,fl,f,c,fl_c,1,12,708,11,712,2,5,3161.83,203.654,,n,y,NA,123.905,n,y,NA,123.155,n,n,NA,NA,y,y,243.306,120.902,y,y,1460.041,130.271
2602,d,1,fl,f,c,fl_c,1,12,708,11,712,2,5,3161.83,125.376,,n,y,NA,113.152,n,y,NA,110.908,n,y,NA,107.654,y,y,159.305,101.161,y,y,1435.047,122.263
2582,w,1,fl,c,c,fl_c,2,12,709,11,713,5,5,2717.124,1518.852,,y,y,695.346,305.202,y,y,917.075,299.706,y,y,637.714,91.74,y,y,53.401,58.901,y,y,794.673,86.153
2577,o,1,fl,f,c,fl_c,2,12,709,11,713,5,5,1041.287,725.354,,y,y,1041.287,725.354,y,y,1033.791,510.017,y,y,781.202,326.964,y,y,555.205,228.909,y,y,565.273,493.742
2592,y,1,fl,f,c,fl_c,2,12,709,11,713,5,5,555.751,318.963,,y,y,552.385,248.925,n,y,NA,243.652,y,y,428.961,238.183,y,y,138.905,268.704,y,n,298.957,NA
