bird.id,soc.trt,inf.cap,comb.trt,cage.id,time
2572,fl,i,fl.i,4,10.29
2573,s,c,s.c,9,20.86
2579,fl,i,fl.i,5,38.38
2580,s,c,s.c,12,2.58
2582,fl,c,fl.c,2,19.44
2585,fl,i,fl.i,1,9.35
2588,fl,i,fl.i,5,12.38
2594,s,i,s.i,8,7.38
2597,fl,c,fl.c,1,30.65
2599,s,i,s.i,3,2.06
2603,s,c,s.c,11,12.54
2606,s,i,s.i,7,8.63
2607,s,i,s.i,6,3.82
2609,fl,i,fl.i,2,2.7
2610,fl,c,fl.c,4,7.82
2611,s,c,s.c,10,17.46
2617,s,c,s.c,22,6.67
2621,fl,i,fl.i,14,24.46
2622,fl,i,fl.i,16,9.35
2624,s,c,s.c,23,5.54
2629,s,c,s.c,21,13.64
2635,fl,i,fl.i,17,3.16
2642,s,i,s.i,18,6.67
2649,s,i,s.i,19,8.53
2653,s,c,s.c,24,7.26
2656,s,i,s.i,15,2.32
2674,fl,i,fl.i,16,1.17
2677,fl,i,fl.i,13,1.68
2700,fl,i,fl.i,13,6.1
2707,fl,i,fl.i,17,1.4
2714,fl,c,fl.c,14,8.4
2716,s,i,s.i,20,4.02
