bird.id,soc.trt,inf.cap,comb.trt,cage.id,time,status
2572,fl,i,fl.i,4,18.59,1
2573,s,c,s.c,9,22.03,1
2579,fl,i,fl.i,5,17.83,1
2580,s,c,s.c,12,9.32,1
2582,fl,c,fl.c,2,6.21,1
2585,fl,i,fl.i,1,9.71,1
2588,fl,c,fl.c,5,16.23,1
2594,s,i,s.i,8,6.76,1
2597,fl,c,fl.c,1,16.23,1
2599,s,i,s.i,3,4.2,1
2603,s,c,s.c,11,31.3,1
2606,s,i,s.i,7,2.74,1
2607,s,i,s.i,6,7.44,1
2609,fl,i,fl.i,2,8.78,1
2610,fl,c,fl.c,4,3.13,1
2611,s,c,s.c,10,9.09,1
2617,s,c,s.c,22,9.35,1
2621,fl,i,fl.i,14,11.51,1
2622,fl,i,fl.i,16,11.32,1
2624,s,c,s.c,23,19.73,1
2629,s,c,s.c,21,11.81,1
2635,fl,c,fl.c,17,9.22,1
2642,s,i,s.i,18,1.82,1
2649,s,i,s.i,19,4.65,1
2653,s,c,s.c,24,6.09,1
2656,s,i,s.i,15,2.47,1
2674,fl,c,fl.c,16,4.83,1
2677,fl,c,fl.c,13,23.52,1
2700,fl,i,fl.i,13,4.3,1
2707,fl,i,fl.i,17,24.94,1
2714,fl,c,fl.c,14,8.68,1
2716,s,i,s.i,20,6.46,1
