bird.id,flock.trt,assign.trt,mg.status,PID,PID.code,l.score,r.score,comb.score
2572,fl,i,u,-4,a,0,0,0
2573,s,sc,u,-4,a,0,0,0
2574,fl,nt,u,-4,a,0,0,0
2577,fl,nt,u,-4,a,0,0,0
2579,fl,i,u,-4,a,0,0,0
2580,s,sc,u,-4,a,0,0,0
2582,fl,sc,u,-4,a,0,0,0
2583,fl,nt,u,-4,a,0,0,0
2585,fl,i,u,-4,a,0,0,0
2586,fl,nt,u,-4,a,0,0,0
2588,fl,sc,u,-4,a,0,0,0
2590,fl,nt,u,-4,a,0,0,0
2592,fl,nt,u,-4,a,0,0,0
2593,fl,nt,u,-4,a,0,0,0
2594,s,i,u,-4,a,0,0,0
2596,fl,nt,u,-4,a,0,0,0
2597,fl,sc,u,-4,a,0,0,0
2598,fl,nt,u,-4,a,0,0,0
2599,s,i,u,-4,a,0,0,0
2600,fl,nt,u,-4,a,0,0,0
2602,fl,nt,u,-4,a,0,0,0
2603,s,sc,u,-4,a,0,0,0
2605,fl,nt,u,-4,a,0,0,0
2606,s,i,u,-4,a,0,0,0
2607,s,i,u,-4,a,0,0,0
2609,fl,i,u,-4,a,0,0,0
2610,fl,sc,u,-4,a,0,0,0
2611,s,sc,u,-4,a,0,0,0
2612,fl,nt,u,-4,a,0,0,0
2617,s,sc,u,-4,a,0,0,0
2621,fl,i,u,-4,a,0,0,0
2622,fl,i,u,-4,a,0,0,0
2624,s,sc,u,-4,a,0,0,0
2626,fl,nt,u,-4,a,0,0,0
2629,s,sc,u,-4,a,0,0,0
2635,fl,sc,u,-4,a,0,0,0
2639,fl,nt,u,-4,a,0,0,0
2642,s,i,u,-4,a,0,0,0
2649,s,i,u,-4,a,0,0,0
2653,s,sc,u,-4,a,0,0,0
2656,s,i,u,-4,a,0,0,0
2661,fl,nt,u,-4,a,0,0,0
2666,fl,nt,u,-4,a,0,0,0
2669,fl,nt,u,-4,a,0,0,0
2673,fl,nt,u,-4,a,0,0,0
2674,fl,sc,u,-4,a,0,0,0
2677,fl,sc,u,-4,a,0,0,0
2680,fl,nt,u,-4,a,0,0,0
2688,fl,nt,u,-4,a,0,0,0
2696,fl,nt,u,-4,a,0,0,0
2700,fl,i,u,-4,a,0,0,0
2701,fl,nt,u,-4,a,0,0,0
2707,fl,i,u,-4,a,0,0,0
2711,fl,nt,u,-4,a,0,0,0
2714,fl,sc,u,-4,a,0,0,0
2716,s,i,u,-4,a,0,0,0
2572,fl,i,i,7,b,2,1,3
2573,s,sc,u,7,b,0,0,0
2574,fl,nt,u,7,b,0,0,0
2577,fl,nt,u,7,b,0,0,0
2579,fl,i,i,7,b,1,1,2
2580,s,sc,u,8,b,0,0,0
2582,fl,sc,u,8,b,0,0,0
2583,fl,nt,u,7,b,0,0,0
2585,fl,i,i,8,b,0.5,1,1.5
2586,fl,nt,u,7,b,0,0,0
2588,fl,sc,u,8,b,0,0,0
2590,fl,nt,u,7,b,0,0,0
2592,fl,nt,u,7,b,0,0,0
2593,fl,nt,u,7,b,0,0,0
2594,s,i,i,8,b,2.5,3,5.5
2596,fl,nt,u,7,b,0,0,0
2597,fl,sc,u,7,b,0,0,0
2598,fl,nt,u,7,b,0,0,0
2599,s,i,i,7,b,1,1.5,2.5
2600,fl,nt,u,7,b,0,0,0
2602,fl,nt,u,7,b,0,0,0
2603,s,sc,u,7,b,0,0,0
2605,fl,nt,u,7,b,0,0,0
2606,s,i,i,8,b,1.5,2,3.5
2607,s,i,i,7,b,0.5,1,1.5
2609,fl,i,i,7,b,0.5,0.5,1
2610,fl,sc,u,8,b,0,0,0
2611,s,sc,u,8,b,0,0,0
2612,fl,nt,u,7,b,0,0,0
2617,s,sc,u,7,b,0,0,0
2621,fl,i,i,7,b,1,1.5,2.5
2622,fl,i,i,8,b,0.5,0.5,1
2624,s,sc,u,7,b,0,0,0
2626,fl,nt,u,7,b,0,0,0
2629,s,sc,u,8,b,0,0,0
2635,fl,sc,u,8,b,0,0,0
2639,fl,nt,u,7,b,0,0,0
2642,s,i,i,8,b,0.5,0.5,1
2649,s,i,i,8,b,1,0.5,1.5
2653,s,sc,u,8,b,0,0,0
2656,s,i,i,7,b,0.5,0.5,1
2661,fl,nt,u,7,b,0,0,0
2666,fl,nt,u,7,b,0,0,0
2669,fl,nt,u,7,b,0,0,0
2673,fl,nt,u,7,b,0,0,0
2674,fl,sc,u,7,b,0,0,0
2677,fl,sc,u,8,b,0,0,0
2680,fl,nt,u,7,b,0,0,0
2688,fl,nt,u,7,b,0,0,0
2696,fl,nt,u,7,b,0,0,0
2700,fl,i,i,7,b,0.5,0.5,1
2701,fl,nt,u,7,b,0,0,0
2707,fl,i,i,7,b,0.5,0.5,1
2711,fl,nt,u,7,b,0,0,0
2714,fl,sc,u,8,b,0,0,0
2716,s,i,i,7,b,0.5,0.5,1
2572,fl,i,i,12,d,3,1.5,4.5
2573,s,sc,u,12,d,0,0,0
2574,fl,nt,i,12,d,0,1,1
2577,fl,nt,u,12,d,0,0,0
2579,fl,i,i,12,d,1.5,1,2.5
2580,s,sc,u,12,d,0,0,0
2582,fl,sc,u,12,d,0,0,0
2583,fl,nt,i,12,d,0,0.5,0.5
2585,fl,i,i,12,d,0.5,0,0.5
2586,fl,nt,i,12,d,1,0,1
2588,fl,sc,i,12,d,1.5,0,1.5
2590,fl,nt,u,12,d,0,0,0
2592,fl,nt,u,12,d,0,0,0
2593,fl,nt,i,12,d,0.5,0,0.5
