bird.id,flock.trt,assign.trt,mg.status.path,eye_score,PID,PID.code,path.load,,,,,,
2572,fl,i,i,i,7,a,5.264859703,,,,,,
2573,s,sc,u,u,7,a,0,,,,,,
2574,fl,nt,u,u,7,a,0,,,,,,
2577,fl,nt,u,u,7,a,,,,,,,
2579,fl,i,i,i,7,a,6.381475889,,,,,,
2580,s,sc,u,u,8,a,0,,,,,,
2582,fl,sc,i,u,8,a,0.998083399,,,,,,
2583,fl,nt,i,u,7,a,2.437923,,,,,,
2585,fl,i,i,i,8,a,5.306131,,,,,,
2586,fl,nt,u,u,7,a,0,,,,,,
2588,fl,sc,i,u,8,a,1.811942891,,,,,,
2590,fl,nt,u,u,7,a,,,,,,,
2592,fl,nt,u,u,7,a,,,,,,,
2593,fl,nt,u,u,7,a,0,,,,,,
2594,s,i,i,i,8,a,5.657695,,,,,,
2596,fl,nt,u,u,7,a,,,,,,,
2597,fl,sc,u,u,7,a,0,,,,,,
2598,fl,nt,i,u,7,a,2.486477,,,,,,
2599,s,i,i,i,7,a,5.634678646,,,,,,
2600,fl,nt,u,u,7,a,0,,,,,,
2602,fl,nt,u,u,7,a,,,,,,,
2603,s,sc,u,u,7,a,0,,,,,,
2605,fl,nt,u,u,7,a,,,,,,,
2606,s,i,i,i,8,a,5.581234517,,,,,,
2607,s,i,i,i,7,a,6.008376,,,,,,
2609,fl,i,i,i,7,a,5.478738945,,,,,,
2610,fl,sc,i,u,8,a,0.997365353,,,,,,
2611,s,sc,u,u,8,a,0,,,,,,
2612,fl,nt,i,u,7,a,2.346336837,,,,,,
2617,s,sc,u,u,7,a,0,,,,,,
2621,fl,i,i,i,7,a,5.060934278,,,,,,
2622,fl,i,i,i,8,a,5.431342705,,,,,,
2624,s,sc,u,u,7,a,0,,,,,,
2626,fl,nt,i,u,7,a,1.561680,,,,,"*green highlight -could conditionally include birds that have pathogen load above 3, see how it impacts pattern",
2629,s,sc,u,u,8,a,0,,,,,,redo novel feeder model
2635,fl,sc,i,u,8,a,1.051107166,,,,,,
2639,fl,nt,i,u,7,a,4.873654273,,,,,,
2642,s,i,i,i,8,a,5.517312225,,,,,,
2649,s,i,i,i,8,a,5.527108,,,,,,"*check distribution of glm, quasibinomial no good - alicia email"
2653,s,sc,u,u,8,a,0,,,,,,proportion of birds who spent more than 50% time immobile
2656,s,i,i,i,7,a,5.715020,,,,,,"this is fine to show committee, but reach out to Alicia (work on this in the background"
2661,fl,nt,u,u,7,a,0,,,,,,
2666,fl,nt,u,u,7,a,0,,,,,,
2669,fl,nt,i,u,7,a,4.828479128,,,,,,
2673,fl,nt,u,u,7,a,,,,,,,
2674,fl,sc,i,u,7,a,2.035295,,,,,,
2677,fl,sc,i,u,8,a,1.819804333,,,,,,
